GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oss-configserver,com.yirendai.oss.environment.configserver,CommonConfigConfiguration.GitRepositoryConfiguration,45,0,4,0,10,0,4,0,2,0
oss-configserver,com.yirendai.oss.environment.configserver,CommonConfigSupportedMultipleJGitEnvironmentRepository,87,0,4,0,22,0,7,0,5,0
oss-configserver,com.yirendai.oss.environment.configserver,ProxyIpUtils,43,0,4,0,13,0,6,0,4,0
oss-configserver,com.yirendai.oss.environment.configserver,UsernameModifyFilter.ConfigCoords,181,18,36,0,3,2,24,2,6,2
oss-configserver,com.yirendai.oss.environment.configserver,MonitorWhitelistFilter,257,0,32,0,51,0,26,0,10,0
oss-configserver,com.yirendai.oss.environment.configserver,GogsPropertyPathNotificationExtractor,2,61,3,5,1,12,3,3,0,2
oss-configserver,com.yirendai.oss.environment.configserver,ConfigHealthIndicator,86,0,0,0,16,0,5,0,5,0
oss-configserver,com.yirendai.oss.environment.configserver,GitlabpathPropertyPathNotificationExtractor,7,65,3,5,3,14,3,3,0,2
oss-configserver,com.yirendai.oss.environment.configserver,CommonConfigProperties,37,0,0,0,6,0,9,0,9,0
oss-configserver,com.yirendai.oss.environment.configserver,ReverseDns,49,0,2,0,15,0,4,0,3,0
oss-configserver,com.yirendai.oss.environment.configserver,EmbededJettyConfig,22,0,2,0,6,0,4,0,3,0
oss-configserver,com.yirendai.oss.environment.configserver,UsernameModifyFilter,225,80,31,7,52,16,28,5,12,2
oss-configserver,com.yirendai.oss.environment.configserver,Security,4,45,1,3,2,5,2,3,1,2
oss-configserver,com.yirendai.oss.environment.configserver,AuthorizationHeaderWrapper,47,0,4,0,12,0,5,0,3,0
oss-configserver,com.yirendai.oss.environment.configserver,CommonConfigConfiguration,3,0,0,0,1,0,1,0,1,0
oss-configserver,com.yirendai.oss.environment.configserver,UserService,230,0,8,0,41,0,15,0,11,0
oss-configserver,com.yirendai.oss.environment.configserver,UserContoller,122,0,14,0,33,0,15,0,8,0
oss-configserver,com.yirendai.oss.environment.configserver,CommonConfigRepository,64,0,4,0,17,0,8,0,6,0
oss-configserver,com.yirendai.oss.environment.configserver,WebSecurityConfiguration,550,0,16,0,112,0,25,0,17,0
oss-configserver,com.yirendai.oss.environment.configserver,ConfigServer,91,0,4,0,22,0,9,0,7,0
oss-configserver,com.yirendai.oss.environment.configserver,AbstraceNotificationExtractor,0,52,3,5,0,14,3,4,0,3
oss-configserver,com.yirendai.oss.environment.configserver,ConfigServer.DeployKeyConfiguration,17,0,0,0,4,0,2,0,2,0
oss-configserver,com.yirendai.oss.environment.configserver,EmbededJettyConfig.new JettyServerCustomizer() {...},38,0,0,0,8,0,2,0,2,0
oss-configserver,com.yirendai.oss.environment.configserver,CustomKeySshSessionFactory,40,0,2,0,10,0,4,0,3,0
