GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.preauth,PreAuthTokenFilter,175,0,20,0,49,0,21,0,11,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.preauth,PreAuthTestUserFilter,93,0,12,0,25,0,12,0,6,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.preauth,PreAuthTokenProcessingFilter.NoOpAuthenticationManager,5,0,0,0,2,0,2,0,2,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.preauth,PreAuthTokenCookieClearingLogoutHandler,23,0,4,0,5,0,5,0,3,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.preauth,PreAuthTokenProcessingFilter,182,0,10,0,48,0,22,0,17,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.preauth,PreAuthTokenAuthenticationProvider,79,0,16,0,23,0,12,0,4,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.template,TemplateAuthenticationSuccessHandler,68,0,4,0,20,0,7,0,5,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.template,EncryptDefaultLoginPageGeneratingFilter,731,0,74,0,182,0,63,0,26,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.template,SmartRedirectStrategy,242,0,30,0,50,0,23,0,8,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.template,TemplateAuthenticationEntryPoint,89,0,4,0,19,0,6,0,4,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.template,TemplateAuthenticationFailureHandler,198,0,12,0,47,0,18,0,12,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.template,TemplateAuthenticationLogoutSuccessHandler,24,0,0,0,8,0,3,0,3,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.zuul,ContextAuthTokenZuulFilter,47,0,4,0,15,0,9,0,7,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.zuul,ZuulTokenConfiguration,13,0,0,0,4,0,2,0,2,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.rest,RestfulLogoutSuccessHandler,8,0,0,0,3,0,2,0,2,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.rest,RestfulAuthenticationSuccessHandler,136,0,8,0,33,0,12,0,8,0
oss-lib-security-spring-boot-1.4.2.RELEASE,com.yirendai.oss.lib.security.internal.rest,RestfulLogoutDisabledFilter,53,0,2,0,15,0,7,0,6,0
